wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1356_1.wav,70.0,84.1,68.9,좌,중앙,14.1,1.1,False
1.자동차_1357_1.wav,72.0,86.7,71.5,좌,중앙,14.7,0.5,False
1.자동차_1360_1.wav,110.0,90.5,72.8,우,중앙,19.5,37.2,False
1.자동차_1361_1.wav,102.0,88.8,70.4,우,중앙,13.2,31.6,False
1.자동차_1364_1.wav,82.0,89.2,72.9,좌,중앙,7.2,9.1,False
1.자동차_1371_1.wav,99.0,93.8,71.7,좌,중앙,5.2,27.3,False
1.자동차_1373_1.wav,77.0,88.0,72.7,우,중앙,11.0,4.3,False
1.자동차_1374_1.wav,106.0,91.6,73.4,우,좌,14.4,32.6,False
1.자동차_1375_1.wav,69.0,80.7,66.4,좌,중앙,11.7,2.6,False
1.자동차_1376_1.wav,87.0,87.7,70.7,좌,중앙,0.7,16.3,False
1.자동차_1377_1.wav,84.0,87.4,71.1,우,중앙,3.4,12.9,False
1.자동차_1378_1.wav,69.0,85.0,69.6,우,중앙,16.0,0.6,False
1.자동차_1379_1.wav,95.0,88.9,70.9,우,좌,6.1,24.1,False
1.자동차_1380_1.wav,71.0,77.5,62.9,우,중앙,6.5,8.1,False
1.자동차_1385_1.wav,115.0,94.0,71.9,좌,중앙,21.0,43.1,False
1.자동차_1387_1.wav,106.0,93.7,72.3,좌,중앙,12.3,33.7,False
1.자동차_138_1.wav,75.0,86.9,74.6,우,중앙,11.9,0.4,False
1.자동차_1390_1.wav,73.0,85.6,71.2,우,중앙,12.6,1.8,False
1.자동차_1391_1.wav,99.0,87.2,70.8,좌,중앙,11.8,28.2,False
1.자동차_1392_1.wav,80.0,86.6,70.8,우,중앙,6.6,9.2,False
1.자동차_1393_1.wav,119.0,90.3,72.5,우,중앙,28.7,46.5,False
1.자동차_1397_1.wav,73.0,83.5,64.1,우,중앙,10.5,8.9,False
1.자동차_1398_1.wav,107.0,92.3,77.1,우,중앙,14.7,29.9,False
1.자동차_139_1.wav,78.0,86.5,73.3,우,중앙,8.5,4.7,False
1.자동차_1401_1.wav,68.0,80.5,66.0,우,중앙,12.5,2.0,False
1.자동차_1404_1.wav,71.0,81.9,65.2,우,중앙,10.9,5.8,False
1.자동차_1405_1.wav,70.0,87.9,69.9,우,중앙,17.9,0.1,False
1.자동차_1406_1.wav,74.0,82.8,66.8,우,중앙,8.8,7.2,False
1.자동차_1407_1.wav,110.0,87.4,70.5,우,좌,22.6,39.5,False
1.자동차_1410_1.wav,85.0,88.0,73.9,우,중앙,3.0,11.1,False
1.자동차_1411_1.wav,71.0,79.9,64.0,우,중앙,8.9,7.0,False
1.자동차_1412_1.wav,126.0,89.8,74.1,우,중앙,36.2,51.9,False
1.자동차_1413_1.wav,127.0,90.0,73.3,우,중앙,37.0,53.7,False
1.자동차_1414_1.wav,69.0,85.3,68.9,우,중앙,16.3,0.1,False
1.자동차_1415_1.wav,112.0,90.4,74.7,우,중앙,21.6,37.3,False
1.자동차_1416_1.wav,71.0,86.0,68.9,우,중앙,15.0,2.1,False
1.자동차_1417_1.wav,68.0,82.4,67.4,우,중앙,14.4,0.6,False
1.자동차_1418_1.wav,84.0,85.3,70.5,우,중앙,1.3,13.5,False
1.자동차_141_1.wav,77.0,87.9,76.1,우,중앙,10.9,0.9,False
1.자동차_1420_1.wav,78.0,86.3,70.7,우,중앙,8.3,7.3,False
1.자동차_1421_1.wav,122.0,90.9,73.9,좌,중앙,31.1,48.1,False
1.자동차_1429_1.wav,68.0,79.1,63.9,좌,중앙,11.1,4.1,False
1.자동차_1430_1.wav,89.0,86.5,74.4,우,중앙,2.5,14.6,False
1.자동차_1432_1.wav,75.0,84.9,68.3,우,중앙,9.9,6.7,False
1.자동차_1433_1.wav,78.0,88.4,69.0,우,중앙,10.4,9.0,False
1.자동차_1434_1.wav,74.0,86.3,69.7,좌,중앙,12.3,4.3,False
1.자동차_1437_1.wav,74.0,80.9,64.7,좌,중앙,6.9,9.3,False
1.자동차_1438_1.wav,70.0,86.3,71.3,우,중앙,16.3,1.3,False
1.자동차_1440_1.wav,108.0,92.4,73.8,우,좌,15.6,34.2,False
1.자동차_1441_1.wav,72.0,85.8,70.6,우,중앙,13.8,1.4,False
1.자동차_1442_1.wav,119.0,89.6,70.1,우,중앙,29.4,48.9,False
1.자동차_1443_1.wav,92.0,88.2,69.5,우,중앙,3.8,22.5,False
1.자동차_1444_1.wav,73.0,87.1,72.9,좌,중앙,14.1,0.1,False
1.자동차_1445_1.wav,78.0,87.2,70.7,우,중앙,9.2,7.3,False
1.자동차_1446_1.wav,107.0,94.0,73.3,좌,중앙,13.0,33.7,False
1.자동차_1447_1.wav,69.0,86.3,72.0,우,중앙,17.3,3.0,False
1.자동차_1448_1.wav,98.0,88.3,72.3,우,중앙,9.7,25.7,False
1.자동차_1450_1.wav,100.0,89.9,70.8,좌,중앙,10.1,29.2,False
1.자동차_1454_1.wav,122.0,87.9,66.3,좌,중앙,34.1,55.7,False
1.자동차_1455_1.wav,97.0,91.1,73.2,우,중앙,5.9,23.8,False
1.자동차_1458_1.wav,106.0,89.2,74.7,우,중앙,16.8,31.3,False
1.자동차_1459_1.wav,103.0,92.4,73.6,좌,중앙,10.6,29.4,False
1.자동차_145_1.wav,80.0,85.6,73.3,우,중앙,5.6,6.7,False
1.자동차_1460_1.wav,93.0,88.5,73.3,우,중앙,4.5,19.7,False
1.자동차_1461_1.wav,126.0,90.4,72.9,우,중앙,35.6,53.1,False
1.자동차_1463_1.wav,90.0,88.6,72.3,우,중앙,1.4,17.7,False
1.자동차_1464_1.wav,75.0,83.6,65.8,우,중앙,8.6,9.2,False
1.자동차_1466_1.wav,74.0,79.8,63.6,좌,중앙,5.8,10.4,False
1.자동차_1468_1.wav,81.0,87.6,71.0,우,좌,6.6,10.0,False
1.자동차_1469_1.wav,70.0,78.8,61.6,우,중앙,8.8,8.4,False
1.자동차_1470_1.wav,98.0,87.1,72.9,우,중앙,10.9,25.1,False
1.자동차_1471_1.wav,69.0,85.3,70.7,우,중앙,16.3,1.7,False
1.자동차_1474_1.wav,101.0,94.0,74.2,좌,중앙,7.0,26.8,False
1.자동차_1475_1.wav,68.0,78.8,62.2,좌,중앙,10.8,5.8,False
1.자동차_1476_1.wav,83.0,87.7,71.2,우,중앙,4.7,11.8,False
1.자동차_1477_1.wav,68.0,85.8,69.1,우,중앙,17.8,1.1,False
1.자동차_1478_1.wav,78.0,88.3,71.3,우,중앙,10.3,6.7,False
1.자동차_1479_1.wav,75.0,83.9,66.8,우,중앙,8.9,8.2,False
1.자동차_1480_1.wav,98.0,86.5,71.8,우,중앙,11.5,26.2,False
1.자동차_1481_1.wav,77.0,87.5,71.8,우,중앙,10.5,5.2,False
1.자동차_1482_1.wav,75.0,83.0,65.3,우,중앙,8.0,9.7,False
1.자동차_1483_1.wav,103.0,90.7,74.0,우,중앙,12.3,29.0,False
1.자동차_1489_1.wav,125.0,92.8,75.3,우,좌,32.2,49.7,False
1.자동차_1490_1.wav,109.0,91.2,73.7,우,중앙,17.8,35.3,False
1.자동차_1492_1.wav,105.0,89.1,73.8,우,좌,15.9,31.2,False
1.자동차_1495_1.wav,112.0,92.8,76.8,우,중앙,19.2,35.2,False
1.자동차_1496_1.wav,71.0,86.1,68.3,우,중앙,15.1,2.7,False
1.자동차_1497_1.wav,74.0,84.7,72.0,우,중앙,10.7,2.0,False
1.자동차_1499_1.wav,112.0,94.0,80.4,좌,중앙,18.0,31.6,False
1.자동차_149_1.wav,122.0,94.0,82.2,좌,중앙,28.0,39.8,False
1.자동차_1501_1.wav,75.0,85.3,69.0,우,중앙,10.3,6.0,False
1.자동차_1503_1.wav,102.0,89.8,70.6,우,중앙,12.2,31.4,False
1.자동차_1504_1.wav,75.0,82.6,68.8,우,중앙,7.6,6.2,False
1.자동차_1505_1.wav,75.0,85.9,70.2,우,중앙,10.9,4.8,False
1.자동차_150_1.wav,89.0,87.5,74.0,우,중앙,1.5,15.0,False
1.자동차_1510_1.wav,108.0,90.4,73.0,우,중앙,17.6,35.0,False
